county,precinct,precinct_code,office,district,party,candidate,votes
Butler,FAIR2WD1,AAB,U.S. House,8,G,James J. Condit Jr.,2
Butler,FAIR11WD3,AAC,U.S. House,8,G,James J. Condit Jr.,2
Butler,FAIR4WD1,AAD,U.S. House,8,G,James J. Condit Jr.,1
Butler,FAIR5WD1,AAE,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR6WD1,AAF,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR7WD1,AAG,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR8WD1,AAH,U.S. House,8,G,James J. Condit Jr.,3
Butler,FAIR9WD1,AAI,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR3WD1,AAK,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR1WD2,AAL,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR2WD2,AAM,U.S. House,8,G,James J. Condit Jr.,2
Butler,FAIR3WD2,AAN,U.S. House,8,G,James J. Condit Jr.,3
Butler,FAIR4WD2,AAO,U.S. House,8,G,James J. Condit Jr.,5
Butler,FAIR5WD2,AAP,U.S. House,8,G,James J. Condit Jr.,4
Butler,FAIR6WD2,AAQ,U.S. House,8,G,James J. Condit Jr.,2
Butler,FAIR7WD2,AAR,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR8WD2,AAS,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR1WD3,AAT,U.S. House,8,G,James J. Condit Jr.,3
Butler,FAIR2WD3,AAU,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR3WD3,AAV,U.S. House,8,G,James J. Condit Jr.,1
Butler,FAIR4WD3,AAW,U.S. House,8,G,James J. Condit Jr.,1
Butler,FAIR5WD3,AAX,U.S. House,8,G,James J. Condit Jr.,1
Butler,FAIR6WD3,AAY,U.S. House,8,G,James J. Condit Jr.,0
Butler,FAIR7WD3,AAZ,U.S. House,8,G,James J. Condit Jr.,2
Butler,FAIR8WD3,ABA,U.S. House,8,G,James J. Condit Jr.,1
