County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,President (at-large),,D,Hillary Clinton,68
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,President (at-large),,D,"Roque ""Rocky"" De La Fuente",1
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,President (at-large),,D,Bernie Sanders,76
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,U.S. Senator,,D,Kelli Prather,28
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,U.S. Senator,,D,P.G. Sittenfeld,30
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,U.S. Senator,,D,Ted Strickland,74
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,Representative to Congress,14,D,Alfred Mackey,43
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,Representative to Congress,14,D,Michael Wager,69
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,State Senator,18,D,Wiley Runnestrand,0
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,State Representative,60,D,John M. Rogers,96
Lake,PRECINCT EASTLAKE CITY 1A,AAA,Northeast,Cleveland,"1,107",316,State Representative,61,D,Rick Walker,0
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,President (at-large),,D,Hillary Clinton,63
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,President (at-large),,D,"Roque ""Rocky"" De La Fuente",1
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,President (at-large),,D,Bernie Sanders,59
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,U.S. Senator,,D,Kelli Prather,11
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,U.S. Senator,,D,P.G. Sittenfeld,25
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,U.S. Senator,,D,Ted Strickland,79
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,Representative to Congress,14,D,Alfred Mackey,20
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,Representative to Congress,14,D,Michael Wager,71
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,State Senator,18,D,Wiley Runnestrand,0
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,State Representative,60,D,John M. Rogers,78
Lake,PRECINCT EASTLAKE CITY 1B,AAB,Northeast,Cleveland,931,284,State Representative,61,D,Rick Walker,0
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,President (at-large),,D,Hillary Clinton,144
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,President (at-large),,D,Bernie Sanders,70
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,U.S. Senator,,D,Kelli Prather,33
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,U.S. Senator,,D,P.G. Sittenfeld,58
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,U.S. Senator,,D,Ted Strickland,113
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,Representative to Congress,14,D,Alfred Mackey,48
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,Representative to Congress,14,D,Michael Wager,105
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,State Senator,18,D,Wiley Runnestrand,0
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,State Representative,60,D,John M. Rogers,156
Lake,PRECINCT EASTLAKE CITY 1C,AAC,Northeast,Cleveland,"1,123",604,State Representative,61,D,Rick Walker,0
Lake,PRECINCT EASTLAKE CITY 2A,AAE,Northeast,Cleveland,"1,027",405,President (at-large),,D,Hillary Clinton,95
Lake,PRECINCT EASTLAKE CITY 2A,AAE,Northeast,Cleveland,"1,027",405,President (at-large),,D,"Roque ""Rocky"" De La Fuente",1
Lake,PRECINCT EASTLAKE CITY 2A,AAE,Northeast,Cleveland,"1,027",405,President (at-large),,D,Bernie Sanders,78
Lake,PRECINCT EASTLAKE CITY 2A,AAE,Northeast,Cleveland,"1,027",405,U.S. Senator,,D,Kelli Prather,18
Lake,PRECINCT EASTLAKE CITY 2A,AAE,Northeast,Cleveland,"1,027",405,U.S. Senator,,D,P.G. Sittenfeld,45
