county,candidate,party,office,district,votes
Adams,James Jerome Bell,,President,,0
Adams,Michael Bickelmeyer,,President,,0
Adams,Darrell L. Castle,,President,,16
Adams,Hillary Clinton,Democratic,President,,2326
Adams,Richard Duncan,,President,,62
Adams,Cherunda Fox,,President,,0
Adams,Ben Hartnell,,President,,0
Adams,Tom Hoefling,,President,,4
Adams,Bruce E. Jaynes,,President,,0
Adams,Gary Johnson,,President,,226
Adams,Chris Keniston,,President,,0
Adams,Barry Kirschner,,President,,0
Adams,Laurence Kotlikoff,,President,,0
Adams,Joseph Maldonado,,President,,0
Adams,Michael Andrew Maturen,,President,,0
Adams,Evan McMullin,,President,,17
Adams,Monica Moorehead,,President,,0
Adams,Joe Schriner,,President,,2
Adams,Mike Smith,,President,,0
Adams,Jill Stein,Green,President,,47
Adams,Josiah R. Stroh,,President,,0
Adams,Douglas W. Thomson,,President,,0
Adams,Donald J. Trump,Republican,President,,8659
Allen,James Jerome Bell,,President,,0
Allen,Michael Bickelmeyer,,President,,0
Allen,Darrell L. Castle,,President,,8
Allen,Hillary Clinton,Democratic,President,,13294
Allen,Richard Duncan,,President,,225
Allen,Cherunda Fox,,President,,0
Allen,Ben Hartnell,,President,,0
Allen,Tom Hoefling,,President,,0
Allen,Bruce E. Jaynes,,President,,0
Allen,Gary Johnson,,President,,1486
Allen,Chris Keniston,,President,,0
Allen,Barry Kirschner,,President,,0
Allen,Laurence Kotlikoff,,President,,0
Allen,Joseph Maldonado,,President,,0
Allen,Michael Andrew Maturen,,President,,2
Allen,Evan McMullin,,President,,68
Allen,Monica Moorehead,,President,,0
Allen,Joe Schriner,,President,,1
Allen,Mike Smith,,President,,0
Allen,Jill Stein,Green,President,,323
Allen,Josiah R. Stroh,,President,,0
Allen,Douglas W. Thomson,,President,,0
Allen,Donald J. Trump,Republican,President,,30487
Ashland,James Jerome Bell,,President,,0
Ashland,Michael Bickelmeyer,,President,,0
Ashland,Darrell L. Castle,,President,,15
Ashland,Hillary Clinton,Democratic,President,,5740
Ashland,Richard Duncan,,President,,183
Ashland,Cherunda Fox,,President,,0
Ashland,Ben Hartnell,,President,,0
Ashland,Tom Hoefling,,President,,1
Ashland,Bruce E. Jaynes,,President,,0
Ashland,Gary Johnson,,President,,906
Ashland,Chris Keniston,,President,,1
Ashland,Barry Kirschner,,President,,0
Ashland,Laurence Kotlikoff,,President,,0
Ashland,Joseph Maldonado,,President,,0
Ashland,Michael Andrew Maturen,,President,,5
Ashland,Evan McMullin,,President,,61
Ashland,Monica Moorehead,,President,,0
Ashland,Joe Schriner,,President,,0
Ashland,Mike Smith,,President,,0
Ashland,Jill Stein,Green,President,,185
Ashland,Josiah R. Stroh,,President,,0
Ashland,Douglas W. Thomson,,President,,0
Ashland,Donald J. Trump,Republican,President,,17493
Ashtabula,James Jerome Bell,,President,,0
Ashtabula,Michael Bickelmeyer,,President,,0
Ashtabula,Darrell L. Castle,,President,,4
Ashtabula,Hillary Clinton,Democratic,President,,15577
Ashtabula,Richard Duncan,,President,,271
Ashtabula,Cherunda Fox,,President,,0
Ashtabula,Ben Hartnell,,President,,1
Ashtabula,Tom Hoefling,,President,,3
Ashtabula,Bruce E. Jaynes,,President,,0
Ashtabula,Gary Johnson,,President,,1213
Ashtabula,Chris Keniston,,President,,0
Ashtabula,Barry Kirschner,,President,,0
Ashtabula,Laurence Kotlikoff,,President,,0
Ashtabula,Joseph Maldonado,,President,,1
Ashtabula,Michael Andrew Maturen,,President,,0
Ashtabula,Evan McMullin,,President,,51
Ashtabula,Monica Moorehead,,President,,0
Ashtabula,Joe Schriner,,President,,1
Ashtabula,Mike Smith,,President,,0
Ashtabula,Jill Stein,Green,President,,427
Ashtabula,Josiah R. Stroh,,President,,0
Ashtabula,Douglas W. Thomson,,President,,0
Ashtabula,Donald J. Trump,Republican,President,,23318
Athens,James Jerome Bell,,President,,0
Athens,Michael Bickelmeyer,,President,,0
Athens,Darrell L. Castle,,President,,8
Athens,Hillary Clinton,Democratic,President,,16370
Athens,Richard Duncan,,President,,130
Athens,Cherunda Fox,,President,,0
Athens,Ben Hartnell,,President,,0
Athens,Tom Hoefling,,President,,0
Athens,Bruce E. Jaynes,,President,,0
Athens,Gary Johnson,,President,,1012
Athens,Chris Keniston,,President,,0
Athens,Barry Kirschner,,President,,0
Athens,Laurence Kotlikoff,,President,,0
Athens,Joseph Maldonado,,President,,0
Athens,Michael Andrew Maturen,,President,,6
Athens,Evan McMullin,,President,,24
Athens,Monica Moorehead,,President,,0
Athens,Joe Schriner,,President,,0
Athens,Mike Smith,,President,,0
Athens,Jill Stein,Green,President,,539
Athens,Josiah R. Stroh,,President,,0
Athens,Douglas W. Thomson,,President,,0
Athens,Donald J. Trump,Republican,President,,11354
Auglaize,James Jerome Bell,,President,,0
Auglaize,Michael Bickelmeyer,,President,,0
Auglaize,Darrell L. Castle,,President,,3
Auglaize,Hillary Clinton,Democratic,President,,3980
Auglaize,Richard Duncan,,President,,132
Auglaize,Cherunda Fox,,President,,0
Auglaize,Ben Hartnell,,President,,0
Auglaize,Tom Hoefling,,President,,4
Auglaize,Bruce E. Jaynes,,President,,0
Auglaize,Gary Johnson,,President,,701
Auglaize,Chris Keniston,,President,,2
Auglaize,Barry Kirschner,,President,,0
Auglaize,Laurence Kotlikoff,,President,,2
Auglaize,Joseph Maldonado,,President,,0
Auglaize,Michael Andrew Maturen,,President,,4
Auglaize,Evan McMullin,,President,,27
Auglaize,Monica Moorehead,,President,,0
Auglaize,Joe Schriner,,President,,2
Auglaize,Mike Smith,,President,,0
Auglaize,Jill Stein,Green,President,,112
Auglaize,Josiah R. Stroh,,President,,0
Auglaize,Douglas W. Thomson,,President,,0
Auglaize,Donald J. Trump,Republican,President,,18658
Belmont,James Jerome Bell,,President,,0
Belmont,Michael Bickelmeyer,,President,,0
Belmont,Darrell L. Castle,,President,,4
Belmont,Hillary Clinton,Democratic,President,,8785
Belmont,Richard Duncan,,President,,214
Belmont,Cherunda Fox,,President,,0
Belmont,Ben Hartnell,,President,,1
Belmont,Tom Hoefling,,President,,0
Belmont,Bruce E. Jaynes,,President,,0
Belmont,Gary Johnson,,President,,777
Belmont,Chris Keniston,,President,,0
Belmont,Barry Kirschner,,President,,0
Belmont,Laurence Kotlikoff,,President,,0
Belmont,Joseph Maldonado,,President,,0
Belmont,Michael Andrew Maturen,,President,,3
Belmont,Evan McMullin,,President,,34
Belmont,Monica Moorehead,,President,,0
Belmont,Joe Schriner,,President,,0
Belmont,Mike Smith,,President,,0
Belmont,Jill Stein,Green,President,,195
Belmont,Josiah R. Stroh,,President,,1
Belmont,Douglas W. Thomson,,President,,0
Belmont,Donald J. Trump,Republican,President,,21108
Brown,James Jerome Bell,,President,,0
Brown,Michael Bickelmeyer,,President,,0
Brown,Darrell L. Castle,,President,,4
Brown,Hillary Clinton,Democratic,President,,4353
Brown,Richard Duncan,,President,,95
Brown,Cherunda Fox,,President,,0
Brown,Ben Hartnell,,President,,1
Brown,Tom Hoefling,,President,,2
Brown,Bruce E. Jaynes,,President,,0
Brown,Gary Johnson,,President,,431
Brown,Chris Keniston,,President,,1
Brown,Barry Kirschner,,President,,0
Brown,Laurence Kotlikoff,,President,,0
Brown,Joseph Maldonado,,President,,0
Brown,Michael Andrew Maturen,,President,,0
Brown,Evan McMullin,,President,,43
Brown,Monica Moorehead,,President,,0
Brown,Joe Schriner,,President,,1
Brown,Mike Smith,,President,,0
Brown,Jill Stein,Green,President,,103
Brown,Josiah R. Stroh,,President,,0
Brown,Douglas W. Thomson,,President,,0
Brown,Donald J. Trump,Republican,President,,14573
Butler,James Jerome Bell,,President,,0
Butler,Michael Bickelmeyer,,President,,0
Butler,Darrell L. Castle,,President,,71
Butler,Hillary Clinton,Democratic,President,,58642
Butler,Richard Duncan,,President,,566
