County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Defiance,Northwest,Toledo,"24,945","11,885",President (at-large),,D,Hillary Clinton,"1,520"
Defiance,Northwest,Toledo,"24,945","11,885",President (at-large),,D,"Roque ""Rocky"" De La Fuente",36
Defiance,Northwest,Toledo,"24,945","11,885",President (at-large),,D,Bernie Sanders,"1,464"
Defiance,Northwest,Toledo,"24,945","11,885",U.S. Senator,,D,Kelli Prather,443
Defiance,Northwest,Toledo,"24,945","11,885",U.S. Senator,,D,P.G. Sittenfeld,422
Defiance,Northwest,Toledo,"24,945","11,885",U.S. Senator,,D,Ted Strickland,"1,945"
Defiance,Northwest,Toledo,"24,945","11,885",Representative to Congress,05,D,James Neu Jr.,"2,002"
