County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,President (at-large),,D,Hillary Clinton,13
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,President (at-large),,D,Bernie Sanders,8
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,U.S. Senator,,D,Kelli Prather,1
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,U.S. Senator,,D,P.G. Sittenfeld,3
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,U.S. Senator,,D,Ted Strickland,20
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,Representative to Congress,06,D,Michael L. Lorentz,6
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,State Senator,30,D,Lou Gentile,18
Noble,BEAVER,AAA,Southeast,Wheeling,366,134,State Representative,95,D,Ginny Favede,17
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,President (at-large),,D,Hillary Clinton,56
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,President (at-large),,D,Bernie Sanders,42
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,U.S. Senator,,D,Kelli Prather,8
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,U.S. Senator,,D,P.G. Sittenfeld,11
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,U.S. Senator,,D,Ted Strickland,82
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,Representative to Congress,06,D,Michael L. Lorentz,31
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,State Senator,30,D,Lou Gentile,68
Noble,BROOKFIELD/NOBLE,AAB,Southeast,Wheeling,734,379,State Representative,95,D,Ginny Favede,56
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,President (at-large),,D,Hillary Clinton,67
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,President (at-large),,D,"Roque ""Rocky"" De La Fuente",4
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,President (at-large),,D,Bernie Sanders,36
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,U.S. Senator,,D,Kelli Prather,8
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,U.S. Senator,,D,P.G. Sittenfeld,10
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,U.S. Senator,,D,Ted Strickland,81
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,Representative to Congress,06,D,Michael L. Lorentz,40
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,State Senator,30,D,Lou Gentile,81
Noble,BUFFALO/SENECA,AAC,Southeast,Wheeling,887,435,State Representative,95,D,Ginny Favede,74
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,President (at-large),,D,Hillary Clinton,27
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,President (at-large),,D,Bernie Sanders,21
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,U.S. Senator,,D,Kelli Prather,4
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,U.S. Senator,,D,P.G. Sittenfeld,2
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,U.S. Senator,,D,Ted Strickland,45
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,Representative to Congress,06,D,Michael L. Lorentz,16
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,State Senator,30,D,Lou Gentile,35
Noble,CENTER EAST/SARAHSVILLE,AAD,Southeast,Wheeling,404,203,State Representative,95,D,Ginny Favede,30
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,President (at-large),,D,Hillary Clinton,15
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,President (at-large),,D,Bernie Sanders,22
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,U.S. Senator,,D,Kelli Prather,5
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,U.S. Senator,,D,P.G. Sittenfeld,3
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,U.S. Senator,,D,Ted Strickland,29
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,Representative to Congress,06,D,Michael L. Lorentz,12
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,State Senator,30,D,Lou Gentile,27
Noble,CENTER WEST,AAF,Southeast,Wheeling,357,157,State Representative,95,D,Ginny Favede,28
Noble,ELK,AAH,Southeast,Wheeling,202,87,President (at-large),,D,Hillary Clinton,10
Noble,ELK,AAH,Southeast,Wheeling,202,87,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,ELK,AAH,Southeast,Wheeling,202,87,President (at-large),,D,Bernie Sanders,6
Noble,ELK,AAH,Southeast,Wheeling,202,87,U.S. Senator,,D,Kelli Prather,0
Noble,ELK,AAH,Southeast,Wheeling,202,87,U.S. Senator,,D,P.G. Sittenfeld,3
Noble,ELK,AAH,Southeast,Wheeling,202,87,U.S. Senator,,D,Ted Strickland,16
Noble,ELK,AAH,Southeast,Wheeling,202,87,Representative to Congress,06,D,Michael L. Lorentz,10
Noble,ELK,AAH,Southeast,Wheeling,202,87,State Senator,30,D,Lou Gentile,13
Noble,ELK,AAH,Southeast,Wheeling,202,87,State Representative,95,D,Ginny Favede,13
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,President (at-large),,D,Hillary Clinton,20
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,President (at-large),,D,Bernie Sanders,30
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,U.S. Senator,,D,Kelli Prather,4
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,U.S. Senator,,D,P.G. Sittenfeld,3
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,U.S. Senator,,D,Ted Strickland,46
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,Representative to Congress,06,D,Michael L. Lorentz,26
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,State Senator,30,D,Lou Gentile,42
Noble,ENOCH,AAI,Southeast,Wheeling,329,167,State Representative,95,D,Ginny Favede,39
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,President (at-large),,D,Hillary Clinton,20
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,President (at-large),,D,"Roque ""Rocky"" De La Fuente",3
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,President (at-large),,D,Bernie Sanders,16
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,U.S. Senator,,D,Kelli Prather,3
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,U.S. Senator,,D,P.G. Sittenfeld,1
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,U.S. Senator,,D,Ted Strickland,33
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,Representative to Congress,06,D,Michael L. Lorentz,14
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,State Senator,30,D,Lou Gentile,32
Noble,JACKSON/DEXTER CITY 2,AAJ,Southeast,Wheeling,318,134,State Representative,95,D,Ginny Favede,30
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,President (at-large),,D,Hillary Clinton,6
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,President (at-large),,D,"Roque ""Rocky"" De La Fuente",3
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,President (at-large),,D,Bernie Sanders,4
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,U.S. Senator,,D,Kelli Prather,2
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,U.S. Senator,,D,P.G. Sittenfeld,0
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,U.S. Senator,,D,Ted Strickland,13
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,Representative to Congress,06,D,Michael L. Lorentz,12
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,State Senator,30,D,Lou Gentile,13
Noble,JEFFERSON/DEXTER CITY 3,AAK,Southeast,Wheeling,192,69,State Representative,95,D,Ginny Favede,13
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,President (at-large),,D,Hillary Clinton,13
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,President (at-large),,D,"Roque ""Rocky"" De La Fuente",1
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,President (at-large),,D,Bernie Sanders,18
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,U.S. Senator,,D,Kelli Prather,5
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,U.S. Senator,,D,P.G. Sittenfeld,1
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,U.S. Senator,,D,Ted Strickland,29
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,Representative to Congress,06,D,Michael L. Lorentz,14
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,State Senator,30,D,Lou Gentile,29
Noble,MARION/SUMMERFIELD,AAL,Southeast,Wheeling,418,155,State Representative,95,D,Ginny Favede,26
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,President (at-large),,D,Hillary Clinton,21
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,President (at-large),,D,Bernie Sanders,21
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,U.S. Senator,,D,Kelli Prather,6
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,U.S. Senator,,D,P.G. Sittenfeld,4
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,U.S. Senator,,D,Ted Strickland,37
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,Representative to Congress,06,D,Michael L. Lorentz,19
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,State Senator,30,D,Lou Gentile,31
Noble,AVA/BELLE VALLEY,AAN,Southeast,Wheeling,315,122,State Representative,95,D,Ginny Favede,28
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,President (at-large),,D,Hillary Clinton,20
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,President (at-large),,D,"Roque ""Rocky"" De La Fuente",3
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,President (at-large),,D,Bernie Sanders,30
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,U.S. Senator,,D,Kelli Prather,8
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,U.S. Senator,,D,P.G. Sittenfeld,5
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,U.S. Senator,,D,Ted Strickland,46
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,Representative to Congress,06,D,Michael L. Lorentz,33
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,State Senator,30,D,Lou Gentile,41
Noble,MAPLE HEIGHTS,AAP,Southeast,Wheeling,449,206,State Representative,95,D,Ginny Favede,38
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,President (at-large),,D,Hillary Clinton,34
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,President (at-large),,D,"Roque ""Rocky"" De La Fuente",3
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,President (at-large),,D,Bernie Sanders,14
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,U.S. Senator,,D,Kelli Prather,6
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,U.S. Senator,,D,P.G. Sittenfeld,3
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,U.S. Senator,,D,Ted Strickland,43
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,Representative to Congress,06,D,Michael L. Lorentz,14
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,State Senator,30,D,Lou Gentile,36
Noble,DUDLEY,AAR,Southeast,Wheeling,422,186,State Representative,95,D,Ginny Favede,34
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,President (at-large),,D,Hillary Clinton,60
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,President (at-large),,D,"Roque ""Rocky"" De La Fuente",3
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,President (at-large),,D,Bernie Sanders,26
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,U.S. Senator,,D,Kelli Prather,10
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,U.S. Senator,,D,P.G. Sittenfeld,6
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,U.S. Senator,,D,Ted Strickland,70
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,Representative to Congress,06,D,Michael L. Lorentz,32
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,State Senator,30,D,Lou Gentile,61
Noble,OLIVE/DEXTER CITY 1,AAS,Southeast,Wheeling,640,308,State Representative,95,D,Ginny Favede,58
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,President (at-large),,D,Hillary Clinton,52
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,President (at-large),,D,"Roque ""Rocky"" De La Fuente",1
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,President (at-large),,D,Bernie Sanders,40
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,U.S. Senator,,D,Kelli Prather,11
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,U.S. Senator,,D,P.G. Sittenfeld,7
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,U.S. Senator,,D,Ted Strickland,77
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,Representative to Congress,06,D,Michael L. Lorentz,30
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,State Senator,30,D,Lou Gentile,72
Noble,CALDWELL ONE/TWO,AAT,Southeast,Wheeling,599,341,State Representative,95,D,Ginny Favede,67
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,President (at-large),,D,Hillary Clinton,34
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,President (at-large),,D,"Roque ""Rocky"" De La Fuente",1
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,President (at-large),,D,Bernie Sanders,32
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,U.S. Senator,,D,Kelli Prather,9
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,U.S. Senator,,D,P.G. Sittenfeld,4
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,U.S. Senator,,D,Ted Strickland,54
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,Representative to Congress,06,D,Michael L. Lorentz,26
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,State Senator,30,D,Lou Gentile,51
Noble,CALDWELL THREE/FOUR,AAV,Southeast,Wheeling,566,264,State Representative,95,D,Ginny Favede,49
Noble,SHARON,AAY,Southeast,Wheeling,240,109,President (at-large),,D,Hillary Clinton,14
Noble,SHARON,AAY,Southeast,Wheeling,240,109,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,SHARON,AAY,Southeast,Wheeling,240,109,President (at-large),,D,Bernie Sanders,14
Noble,SHARON,AAY,Southeast,Wheeling,240,109,U.S. Senator,,D,Kelli Prather,4
Noble,SHARON,AAY,Southeast,Wheeling,240,109,U.S. Senator,,D,P.G. Sittenfeld,0
Noble,SHARON,AAY,Southeast,Wheeling,240,109,U.S. Senator,,D,Ted Strickland,27
Noble,SHARON,AAY,Southeast,Wheeling,240,109,Representative to Congress,06,D,Michael L. Lorentz,13
Noble,SHARON,AAY,Southeast,Wheeling,240,109,State Senator,30,D,Lou Gentile,24
Noble,SHARON,AAY,Southeast,Wheeling,240,109,State Representative,95,D,Ginny Favede,19
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,President (at-large),,D,Hillary Clinton,18
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,President (at-large),,D,"Roque ""Rocky"" De La Fuente",2
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,President (at-large),,D,Bernie Sanders,17
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,U.S. Senator,,D,Kelli Prather,2
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,U.S. Senator,,D,P.G. Sittenfeld,3
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,U.S. Senator,,D,Ted Strickland,31
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,Representative to Congress,06,D,Michael L. Lorentz,11
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,State Senator,30,D,Lou Gentile,19
Noble,STOCK,AAZ,Southeast,Wheeling,222,68,State Representative,95,D,Ginny Favede,16
Noble,WAYNE,ABA,Southeast,Wheeling,347,163,President (at-large),,D,Hillary Clinton,25
