County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Jeb Bush,72
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Ben Carson,187
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Chris Christie,32
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Ted Cruz,"3,639"
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Carly Fiorina,21
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Mike Huckabee,64
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,John R. Kasich,"10,653"
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Marco Rubio,395
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Rick Santorum,20
Wayne,Northeast,Cleveland,"73,064","29,135",President (at-large),,R,Donald J. Trump,"6,593"
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,Jeb Bush,136
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,Ben Carson,416
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,Chris Christie,90
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,Ted Cruz,"3,572"
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,Carly Fiorina,68
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,John R. Kasich,"9,788"
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,Marco Rubio,543
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,Rick Santorum,48
Wayne,Northeast,Cleveland,"73,064","29,135",President (district),16,R,Donald J. Trump,"5,914"
Wayne,Northeast,Cleveland,"73,064","29,135",U.S. Senator,,R,Don Elijah Eckhart,"2,967"
Wayne,Northeast,Cleveland,"73,064","29,135",U.S. Senator,,R,Rob Portman,"12,035"
Wayne,Northeast,Cleveland,"73,064","29,135",Representative to Congress,16,R,Jim Renacci,"16,805"
Wayne,Northeast,Cleveland,"73,064","29,135",State Representative,01,R,David C. Kiefer,"5,945"
Wayne,Northeast,Cleveland,"73,064","29,135",State Representative,01,R,Scott Wiggam,"11,518"
