candidate,county,district,office,party,votes
Bryan Flannery,Adams,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,181
Bryan Flannery,Allen,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1381
Bryan Flannery,Ashland,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,781
Bryan Flannery,Ashtabula,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,2354
Bryan Flannery,Athens,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,238
Bryan Flannery,Auglaize,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,526
Bryan Flannery,Belmont,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1094
Bryan Flannery,Brown,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,449
Bryan Flannery,Butler,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1988
Bryan Flannery,Carroll,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,865
Bryan Flannery,Champaign,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,338
Bryan Flannery,Clark,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1941
Bryan Flannery,Clermont,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1498
Bryan Flannery,Clinton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,96
Bryan Flannery,Columbiana,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1242
Bryan Flannery,Coshocton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,499
Bryan Flannery,Crawford,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,956
Bryan Flannery,Cuyahoga,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,37742
Bryan Flannery,Darke,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,502
Bryan Flannery,Defiance,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,810
Bryan Flannery,Delaware,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1102
Bryan Flannery,Erie,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1648
Bryan Flannery,Fairfield,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1507
Bryan Flannery,Fayette,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,92
Bryan Flannery,Franklin,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,6543
Bryan Flannery,Fulton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,367
Bryan Flannery,Gallia,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,62
Bryan Flannery,Geauga,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1635
Bryan Flannery,Greene,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,1018
Bryan Flannery,Guernsey,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,634
Bryan Flannery,Hamilton,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,6831
Bryan Flannery,Hancock,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,483
Bryan Flannery,Hardin,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,310
Bryan Flannery,Harrison,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,268
Bryan Flannery,Henry,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,297
Bryan Flannery,Highland,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,115
Bryan Flannery,Hocking,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,212
Bryan Flannery,Holmes,,GOVERNOR/LIEUTENANT GOVERNOR,Democratic,352
