county,candidate,party,office,district,votes
Montgomery,Tom Brown,L,State Senate,6,48
Hamilton,Stephen Schulte,L,State Senate,8,87
Adams,Margaret Leech,L,State Senate,14,1
Brown,Margaret Leech,L,State Senate,14,2
Clermont,Margaret Leech,L,State Senate,14,35
Clinton,Margaret Leech,L,State Senate,14,6
Fayette,Margaret Leech,L,State Senate,14,0
Highland,Margaret Leech,L,State Senate,14,3
Pike,Margaret Leech,L,State Senate,14,0
Franklin,William Kammerer,L,State Senate,16,90
Pickaway,William Kammerer,L,State Senate,16,0
Ashtabula,Bart Hildebrant,L,State Senate,18,8
Lake,Bart Hildebrant,L,State Senate,18,46
Cuyahoga,Cheryl Neufer,L,State Senate,22,13
Wayne,Cheryl Neufer,L,State Senate,22,5
Medina,Cheryl Neufer,L,State Senate,22,13
Portage,Pearl Pullman,L,State Senate,28,30
Summit,Pearl Pullman,L,State Senate,28,18
Geauga,Patricia Urquhart,L,State Senate,32,33
Trumbull,Patricia Urquhart,L,State Senate,32,17
