county,candidate,party,office,district,votes
Adams,John Eastman,N,U.S. Senate,,0
Allen,John Eastman,N,U.S. Senate,,4
Ashland,John Eastman,N,U.S. Senate,,1
Ashtabula,John Eastman,N,U.S. Senate,,0
Athens,John Eastman,N,U.S. Senate,,4
Auglaize,John Eastman,N,U.S. Senate,,0
Belmont,John Eastman,N,U.S. Senate,,0
Brown,John Eastman,N,U.S. Senate,,1
Butler,John Eastman,N,U.S. Senate,,20
Carroll,John Eastman,N,U.S. Senate,,1
Champaign,John Eastman,N,U.S. Senate,,1
Clark,John Eastman,N,U.S. Senate,,4
Clermont,John Eastman,N,U.S. Senate,,5
Clinton,John Eastman,N,U.S. Senate,,1
Columbiana,John Eastman,N,U.S. Senate,,0
Coshocton,John Eastman,N,U.S. Senate,,0
Crawford,John Eastman,N,U.S. Senate,,0
Cuyahoga,John Eastman,N,U.S. Senate,,40
Darke,John Eastman,N,U.S. Senate,,3
Defiance,John Eastman,N,U.S. Senate,,1
Delaware,John Eastman,N,U.S. Senate,,10
Erie,John Eastman,N,U.S. Senate,,3
Fairfield,John Eastman,N,U.S. Senate,,8
Fayette,John Eastman,N,U.S. Senate,,0
Franklin,John Eastman,N,U.S. Senate,,103
Fulton,John Eastman,N,U.S. Senate,,1
Gallia,John Eastman,N,U.S. Senate,,0
Geauga,John Eastman,N,U.S. Senate,,16
Greene,John Eastman,N,U.S. Senate,,39
Guernsey,John Eastman,N,U.S. Senate,,0
Hamilton,John Eastman,N,U.S. Senate,,61
Hancock,John Eastman,N,U.S. Senate,,1
Hardin,John Eastman,N,U.S. Senate,,0
Harrison,John Eastman,N,U.S. Senate,,0
Henry,John Eastman,N,U.S. Senate,,0
Highland,John Eastman,N,U.S. Senate,,1
Hocking,John Eastman,N,U.S. Senate,,0
Holmes,John Eastman,N,U.S. Senate,,0
Huron,John Eastman,N,U.S. Senate,,1
Jackson,John Eastman,N,U.S. Senate,,0
Jefferson,John Eastman,N,U.S. Senate,,1
Knox,John Eastman,N,U.S. Senate,,4
Lake,John Eastman,N,U.S. Senate,,22
Lawrence,John Eastman,N,U.S. Senate,,2
Licking,John Eastman,N,U.S. Senate,,8
Logan,John Eastman,N,U.S. Senate,,0
Lorain,John Eastman,N,U.S. Senate,,5
Lucas,John Eastman,N,U.S. Senate,,16
Madison,John Eastman,N,U.S. Senate,,0
Mahoning,John Eastman,N,U.S. Senate,,2
Marion,John Eastman,N,U.S. Senate,,1
Medina,John Eastman,N,U.S. Senate,,1
Meigs,John Eastman,N,U.S. Senate,,0
Mercer,John Eastman,N,U.S. Senate,,1
Miami,John Eastman,N,U.S. Senate,,6
Monroe,John Eastman,N,U.S. Senate,,0
Montgomery,John Eastman,N,U.S. Senate,,15
Morgan,John Eastman,N,U.S. Senate,,0
Morrow,John Eastman,N,U.S. Senate,,2
Muskingum,John Eastman,N,U.S. Senate,,1
Noble,John Eastman,N,U.S. Senate,,0
Ottawa,John Eastman,N,U.S. Senate,,2
Paulding,John Eastman,N,U.S. Senate,,0
Perry,John Eastman,N,U.S. Senate,,0
Pickaway,John Eastman,N,U.S. Senate,,1
Pike,John Eastman,N,U.S. Senate,,0
Portage,John Eastman,N,U.S. Senate,,8
Preble,John Eastman,N,U.S. Senate,,18
Putnam,John Eastman,N,U.S. Senate,,0
Richland,John Eastman,N,U.S. Senate,,1
Ross,John Eastman,N,U.S. Senate,,1
Sandusky,John Eastman,N,U.S. Senate,,0
Scioto,John Eastman,N,U.S. Senate,,0
Seneca,John Eastman,N,U.S. Senate,,2
Shelby,John Eastman,N,U.S. Senate,,6
Stark,John Eastman,N,U.S. Senate,,27
Summit,John Eastman,N,U.S. Senate,,12
Trumbull,John Eastman,N,U.S. Senate,,14
Tuscarawas,John Eastman,N,U.S. Senate,,2
Union,John Eastman,N,U.S. Senate,,1
Van Wert,John Eastman,N,U.S. Senate,,0
Vinton,John Eastman,N,U.S. Senate,,0
Warren,John Eastman,N,U.S. Senate,,5
Washington,John Eastman,N,U.S. Senate,,1
Wayne,John Eastman,N,U.S. Senate,,1
Williams,John Eastman,N,U.S. Senate,,0
Wood,John Eastman,N,U.S. Senate,,15
Wyandot,John Eastman,N,U.S. Senate,,0
Adams,Frank Cremeans,R,U.S. Senate,,405
Adams,Mike Dewine,R,U.S. Senate,,2937
Adams,Ronald Dickson,R,U.S. Senate,,437
Allen,Frank Cremeans,R,U.S. Senate,,913
Allen,Mike Dewine,R,U.S. Senate,,13035
Allen,Ronald Dickson,R,U.S. Senate,,3621
Ashland,Frank Cremeans,R,U.S. Senate,,376
Ashland,Mike Dewine,R,U.S. Senate,,6850
Ashland,Ronald Dickson,R,U.S. Senate,,1075
Ashtabula,Frank Cremeans,R,U.S. Senate,,527
Ashtabula,Mike Dewine,R,U.S. Senate,,8378
Ashtabula,Ronald Dickson,R,U.S. Senate,,1383
Athens,Frank Cremeans,R,U.S. Senate,,1310
Athens,Mike Dewine,R,U.S. Senate,,2993
Athens,Ronald Dickson,R,U.S. Senate,,380
Auglaize,Frank Cremeans,R,U.S. Senate,,338
Auglaize,Mike Dewine,R,U.S. Senate,,5778
Auglaize,Ronald Dickson,R,U.S. Senate,,1035
Belmont,Frank Cremeans,R,U.S. Senate,,280
Belmont,Mike Dewine,R,U.S. Senate,,3669
Belmont,Ronald Dickson,R,U.S. Senate,,571
Brown,Frank Cremeans,R,U.S. Senate,,349
Brown,Mike Dewine,R,U.S. Senate,,3269
Brown,Ronald Dickson,R,U.S. Senate,,607
Butler,Frank Cremeans,R,U.S. Senate,,3514
Butler,Mike Dewine,R,U.S. Senate,,32875
Butler,Ronald Dickson,R,U.S. Senate,,6088
Carroll,Frank Cremeans,R,U.S. Senate,,180
Carroll,Mike Dewine,R,U.S. Senate,,3149
Carroll,Ronald Dickson,R,U.S. Senate,,609
Champaign,Frank Cremeans,R,U.S. Senate,,460
Champaign,Mike Dewine,R,U.S. Senate,,5532
Champaign,Ronald Dickson,R,U.S. Senate,,1082
Clark,Frank Cremeans,R,U.S. Senate,,1209
Clark,Mike Dewine,R,U.S. Senate,,14755
Clark,Ronald Dickson,R,U.S. Senate,,2233
Clermont,Frank Cremeans,R,U.S. Senate,,1710
Clermont,Mike Dewine,R,U.S. Senate,,18549
Clermont,Ronald Dickson,R,U.S. Senate,,3268
Clinton,Frank Cremeans,R,U.S. Senate,,1326
Clinton,Mike Dewine,R,U.S. Senate,,5148
Clinton,Ronald Dickson,R,U.S. Senate,,698
Columbiana,Frank Cremeans,R,U.S. Senate,,651
Columbiana,Mike Dewine,R,U.S. Senate,,9780
Columbiana,Ronald Dickson,R,U.S. Senate,,1877
Coshocton,Frank Cremeans,R,U.S. Senate,,326
Coshocton,Mike Dewine,R,U.S. Senate,,4750
Coshocton,Ronald Dickson,R,U.S. Senate,,687
Crawford,Frank Cremeans,R,U.S. Senate,,421
Crawford,Mike Dewine,R,U.S. Senate,,5118
Crawford,Ronald Dickson,R,U.S. Senate,,699
Cuyahoga,Frank Cremeans,R,U.S. Senate,,5591
Cuyahoga,Mike Dewine,R,U.S. Senate,,90201
Cuyahoga,Ronald Dickson,R,U.S. Senate,,10200
Darke,Frank Cremeans,R,U.S. Senate,,370
Darke,Mike Dewine,R,U.S. Senate,,8055
Darke,Ronald Dickson,R,U.S. Senate,,1017
Defiance,Frank Cremeans,R,U.S. Senate,,283
Defiance,Mike Dewine,R,U.S. Senate,,4027
Defiance,Ronald Dickson,R,U.S. Senate,,667
Delaware,Frank Cremeans,R,U.S. Senate,,1847
Delaware,Mike Dewine,R,U.S. Senate,,16016
Delaware,Ronald Dickson,R,U.S. Senate,,2523
Erie,Frank Cremeans,R,U.S. Senate,,608
Erie,Mike Dewine,R,U.S. Senate,,7989
Erie,Ronald Dickson,R,U.S. Senate,,1175
Fairfield,Frank Cremeans,R,U.S. Senate,,2244
Fairfield,Mike Dewine,R,U.S. Senate,,18170
Fairfield,Ronald Dickson,R,U.S. Senate,,3118
Fayette,Frank Cremeans,R,U.S. Senate,,366
Fayette,Mike Dewine,R,U.S. Senate,,3576
Fayette,Ronald Dickson,R,U.S. Senate,,353
Franklin,Frank Cremeans,R,U.S. Senate,,9920
Franklin,Mike Dewine,R,U.S. Senate,,86073
Franklin,Ronald Dickson,R,U.S. Senate,,11072
Fulton,Frank Cremeans,R,U.S. Senate,,337
Fulton,Mike Dewine,R,U.S. Senate,,5818
Fulton,Ronald Dickson,R,U.S. Senate,,1009
Gallia,Frank Cremeans,R,U.S. Senate,,2519
Gallia,Mike Dewine,R,U.S. Senate,,2031
Gallia,Ronald Dickson,R,U.S. Senate,,336
Geauga,Frank Cremeans,R,U.S. Senate,,669
Geauga,Mike Dewine,R,U.S. Senate,,12215
Geauga,Ronald Dickson,R,U.S. Senate,,1800
Greene,Frank Cremeans,R,U.S. Senate,,1372
Greene,Mike Dewine,R,U.S. Senate,,19689
Greene,Ronald Dickson,R,U.S. Senate,,2946
Guernsey,Frank Cremeans,R,U.S. Senate,,240
Guernsey,Mike Dewine,R,U.S. Senate,,3796
Guernsey,Ronald Dickson,R,U.S. Senate,,636
Hamilton,Frank Cremeans,R,U.S. Senate,,7040
Hamilton,Mike Dewine,R,U.S. Senate,,84643
Hamilton,Ronald Dickson,R,U.S. Senate,,11112
