county,candidate,party,office,district ,votes
Erie,Randy Gardner,R,State Senate,2,11766
Lucas,Randy Gardner,R,State Senate,2,39024
Ottawa,Randy Gardner,R,State Senate,2,12761
Wood,Randy Gardner,R,State Senate,2,38205
Butler,Arnold Engel,D,State Senate,4,42259
Butler,Scott Nein,R,State Senate,4,83854
Preble,Arnold Engel,D,State Senate,4,5449
Preble,Scott Nein,R,State Senate,4,11366
Montgomery,Tom Brown,L,State Senate,6,8960
Montgomery,Jeff Jacobson,R,State Senate,6,80340
Montgomery,Karl Keith,D,State Senate,6,48854
Hamilton,"Louis Blessing, Jr.",R,State Senate,8,81678
Hamilton,Stuart Manning,D,State Senate,8,40656
Hamilton,Stephen Schulte,L,State Senate,8,7324
Clark,Steve Austria,R,State Senate,10,31413
Clark,Roger Tackett ,D,State Senate,10,25310
Greene,Steve Austria,R,State Senate,10,45034
Greene,Roger Tackett ,D,State Senate,10,17633
Madison,Steve Austria,R,State Senate,10,8413
Madison,Roger Tackett ,D,State Senate,10,5256
Allen,Jim Jordan,R,State Senate,12,30344
Allen,Jack Kaffenberger Sr.,,State Senate,12,4747
Allen,Debra Mitchell ,N,State Senate,12,4562
Auglaize,Jim Jordan,R,State Senate,12,9370
Auglaize,Jack Kaffenberger Sr.,,State Senate,12,1131
Auglaize,Debra Mitchell ,N,State Senate,12,928
Champaign,Jim Jordan,R,State Senate,12,10907
Champaign,Jack Kaffenberger Sr.,,State Senate,12,1891
Champaign,Debra Mitchell ,N,State Senate,12,1793
Darke,Jim Jordan,R,State Senate,12,15231
Darke,Jack Kaffenberger Sr.,,State Senate,12,3244
Darke,Debra Mitchell ,N,State Senate,12,2258
Mercer,Jim Jordan,R,State Senate,12,12494
Mercer,Jack Kaffenberger Sr.,,State Senate,12,1801
Mercer,Debra Mitchell ,N,State Senate,12,1617
Miami,Jim Jordan,R,State Senate,12,7076
Miami,Jack Kaffenberger Sr.,,State Senate,12,776
Miami,Debra Mitchell ,N,State Senate,12,1513
Shelby,Jim Jordan,R,State Senate,12,14381
Shelby,Jack Kaffenberger Sr.,,State Senate,12,1955
Shelby,Debra Mitchell ,N,State Senate,12,1702
Adams,Margaret Leech,L,State Senate,14,1429
Adams,Doug White,R,State Senate,14,8283
Brown,Margaret Leech,L,State Senate,14,2593
Brown,Doug White,R,State Senate,14,12427
Clermont,Margaret Leech,L,State Senate,14,13879
Clermont,Doug White,R,State Senate,14,48932
Clinton,Margaret Leech,L,State Senate,14,2757
Clinton,Doug White,R,State Senate,14,10429
Fayette,Margaret Leech,L,State Senate,14,1283
Fayette,Doug White,R,State Senate,14,7166
Highland,Margaret Leech,L,State Senate,14,2438
Highland,Doug White,R,State Senate,14,11891
Pike,Margaret Leech,L,State Senate,14,2434
Pike,Doug White,R,State Senate,14,6193
Franklin,William Kammerer ,L,State Senate,16,30797
Franklin,Priscilla Mead ,R,State Senate,16,101684
Pickaway,William Kammerer ,L,State Senate,16,777
Pickaway,Priscilla Mead ,R,State Senate,16,2770
Ashtabula,Robert Gardner ,R,State Senate,18,19126
Ashtabula,Bart Hildebrant,L,State Senate,18,1535
Ashtabula,Donna Mcnamee,D,State Senate,18,16158
Lake,Robert Gardner ,R,State Senate,18,54403
Lake,Bart Hildebrant,L,State Senate,18,2556
Lake,Donna Mcnamee,D,State Senate,18,33227
Ashland,Jack Campbell ,D,State Senate,19,5965
Ashland,Bill Harris ,R,State Senate,19,14657
Delaware,Jack Campbell ,D,State Senate,19,14927
Delaware,Bill Harris ,R,State Senate,19,33830
Huron,Jack Campbell ,D,State Senate,19,1284
Huron,Bill Harris ,R,State Senate,19,2533
Knox,Jack Campbell ,D,State Senate,19,5379
Knox,Bill Harris ,R,State Senate,19,13480
Morrow,Jack Campbell ,D,State Senate,19,4320
Morrow,Bill Harris ,R,State Senate,19,7296
Richland,Jack Campbell ,D,State Senate,19,18883
Richland,Bill Harris ,R,State Senate,19,30743
Athens,Jim Carnes,R,State Senate,20,2744
Athens,Randy Williams ,D,State Senate,20,3186
Belmont,Jim Carnes,R,State Senate,20,17163
Belmont,Randy Williams ,D,State Senate,20,12048
Coshocton,Jim Carnes,R,State Senate,20,9281
