county,candidate,party,office,district ,votes
Hamilton,Steve Chabot,R,U.S. House,1,116768
Hamilton,John Cranley,D,U.S. House,1,98328
Hamilton,David Groshoff,L,U.S. House,1,3399
Hamilton,Richard Stevenson,N,U.S. House,2,1933
Hamilton,Robert Bidwell,L,U.S. House,2,5154
Hamilton,Rob Portman,R,U.S. House,2,109387
Hamilton,Charles Sanders,D,U.S. House,2,33740
Adams,Robert Bidwell,L,U.S. House,2,250
Adams,Rob Portman,R,U.S. House,2,6977
Adams,Charles Sanders,D,U.S. House,2,2618
Brown,Robert Bidwell,L,U.S. House,2,426
Brown,Rob Portman,R,U.S. House,2,11178
Brown,Charles Sanders,D,U.S. House,2,4177
Clermont,Robert Bidwell,L,U.S. House,2,2259
Clermont,Rob Portman,R,U.S. House,2,50524
Clermont,Charles Sanders,D,U.S. House,2,15644
Warren,Robert Bidwell,L,U.S. House,2,1177
Warren,Rob Portman,R,U.S. House,2,26118
Warren,Charles Sanders,D,U.S. House,2,7912
Montgomery,Regina Burch,N,U.S. House,3,36516
Montgomery,Tony Hall,D,U.S. House,3,177731
Allen,Daniel Dickman,D,U.S. House,4,11409
Allen,Ralph Mullinger,L,U.S. House,4,1295
Allen,Michael Oxley,R,U.S. House,4,30155
Auglaize,Daniel Dickman,D,U.S. House,4,3067
Auglaize,Ralph Mullinger,L,U.S. House,4,418
Auglaize,Michael Oxley,R,U.S. House,4,10413
Crawford,Daniel Dickman,D,U.S. House,4,5118
Crawford,Ralph Mullinger,L,U.S. House,4,519
Crawford,Michael Oxley,R,U.S. House,4,13156
Hancock,Daniel Dickman,D,U.S. House,4,6613
Hancock,Ralph Mullinger,L,U.S. House,4,1475
Hancock,Michael Oxley,R,U.S. House,4,21479
Hardin,Daniel Dickman,D,U.S. House,4,3094
Hardin,Ralph Mullinger,L,U.S. House,4,687
Hardin,Michael Oxley,R,U.S. House,4,7468
Knox,Daniel Dickman,D,U.S. House,4,2099
Knox,Ralph Mullinger,L,U.S. House,4,355
Knox,Michael Oxley,R,U.S. House,4,7652
Logan,Daniel Dickman,D,U.S. House,4,2155
Logan,Ralph Mullinger,L,U.S. House,4,347
Logan,Michael Oxley,R,U.S. House,4,6321
Marion,Daniel Dickman,D,U.S. House,4,8154
Marion,Ralph Mullinger,L,U.S. House,4,935
Marion,Michael Oxley,R,U.S. House,4,14653
Morrow,Daniel Dickman,D,U.S. House,4,3559
Morrow,Ralph Mullinger,L,U.S. House,4,536
Morrow,Michael Oxley,R,U.S. House,4,8103
Richland,Daniel Dickman,D,U.S. House,4,19794
Richland,Ralph Mullinger,L,U.S. House,4,1281
Richland,Michael Oxley,R,U.S. House,4,30199
Wyandot,Daniel Dickman,D,U.S. House,4,2268
Wyandot,Ralph Mullinger,L,U.S. House,4,430
Wyandot,Michael Oxley,R,U.S. House,4,6911
Defiance,Dannie Edmon,D,U.S. House,5,4054
Defiance,Paul Gillmor ,R,U.S. House,5,10935
Defiance,John Green,L,U.S. House,5,339
Defiance,David Schaffer ,N,U.S. House,5,359
Erie,Dannie Edmon,D,U.S. House,5,12166
Erie,Paul Gillmor ,R,U.S. House,5,20265
Erie,John Green,L,U.S. House,5,532
Erie,David Schaffer ,N,U.S. House,5,668
Henry,Dannie Edmon,D,U.S. House,5,2341
Henry,Paul Gillmor ,R,U.S. House,5,9927
Henry,John Green,L,U.S. House,5,370
Henry,David Schaffer ,N,U.S. House,5,218
Huron,Dannie Edmon,D,U.S. House,5,5156
Huron,Paul Gillmor ,R,U.S. House,5,13862
Huron,John Green,L,U.S. House,5,464
Huron,David Schaffer ,N,U.S. House,5,740
Lorain,Dannie Edmon,D,U.S. House,5,4913
Lorain,Paul Gillmor ,R,U.S. House,5,9498
Lorain,John Green,L,U.S. House,5,511
Lorain,David Schaffer ,N,U.S. House,5,699
Mercer,Dannie Edmon,D,U.S. House,5,541
Mercer,Paul Gillmor ,R,U.S. House,5,1559
Mercer,John Green,L,U.S. House,5,52
Mercer,David Schaffer ,N,U.S. House,5,63
Ottawa,Dannie Edmon,D,U.S. House,5,3530
Ottawa,Paul Gillmor ,R,U.S. House,5,8460
Ottawa,John Green,L,U.S. House,5,195
Ottawa,David Schaffer ,N,U.S. House,5,165
Paulding,Dannie Edmon,D,U.S. House,5,2380
Paulding,Paul Gillmor ,R,U.S. House,5,5803
Paulding,John Green,L,U.S. House,5,227
Paulding,David Schaffer ,N,U.S. House,5,207
Putnam,Dannie Edmon,D,U.S. House,5,2620
Putnam,Paul Gillmor ,R,U.S. House,5,13368
Putnam,John Green,L,U.S. House,5,313
Putnam,David Schaffer ,N,U.S. House,5,348
Sandusky,Dannie Edmon,D,U.S. House,5,6439
Sandusky,Paul Gillmor ,R,U.S. House,5,17508
Sandusky,John Green,L,U.S. House,5,556
Sandusky,David Schaffer ,N,U.S. House,5,616
Seneca,Dannie Edmon,D,U.S. House,5,4991
Seneca,Paul Gillmor ,R,U.S. House,5,17682
Seneca,John Green,L,U.S. House,5,543
Seneca,David Schaffer ,N,U.S. House,5,603
Van Wert,Dannie Edmon,D,U.S. House,5,2818
Van Wert,Paul Gillmor ,R,U.S. House,5,9396
Van Wert,John Green,L,U.S. House,5,269
Van Wert,David Schaffer ,N,U.S. House,5,232
Williams,Dannie Edmon,D,U.S. House,5,3077
Williams,Paul Gillmor ,R,U.S. House,5,11373
Williams,John Green,L,U.S. House,5,318
Williams,David Schaffer ,N,U.S. House,5,404
Wood,Dannie Edmon,D,U.S. House,5,7112
Wood,Paul Gillmor ,R,U.S. House,5,20221
Wood,John Green,L,U.S. House,5,775
Wood,David Schaffer ,N,U.S. House,5,559
Athens,Mike Azinger,R,U.S. House,6,6518
Athens,Kenneth Maccutcheon,L,U.S. House,6,784
