county,candidate,party,office,district,votes
Erie,Randy Gardner,R,State Senate,2,3736
Lucas,Randy Gardner,R,State Senate,2,10306
Ottawa,Randy Gardner,R,State Senate,2,3415
Wood,Randy Gardner,R,State Senate,2,14035
Butler,Scott Nein,R,State Senate,4,33900
Preble,Scott Nein,R,State Senate,4,5596
Montgomery,Jeff Jacobson,R,State Senate,6,36191
Hamilton,"Louis Blessing, Jr.",R,State Senate,8,28572
Clark,Steven Austria,R,State Senate,10,8889
Greene,Steven Austria,R,State Senate,10,18045
Madison,Steven Austria,R,State Senate,10,2138
Clark,Timothy Juergens,R,State Senate,10,7510
Greene,Timothy Juergens,R,State Senate,10,3910
Madison,Timothy Juergens,R,State Senate,10,1909
Allen,Jim Buchy,R,State Senate,12,4428
Champaign,Jim Buchy,R,State Senate,12,1649
Darke,Jim Buchy,R,State Senate,12,7588
Mercer,Jim Buchy,R,State Senate,12,3900
Miami,Jim Buchy,R,State Senate,12,2701
Shelby,Jim Buchy,R,State Senate,12,1593
Auglaize,Jim Buchy,R,State Senate,12,1439
Allen,Jim Jordan,R,State Senate,12,13933
Champaign,Jim Jordan,R,State Senate,12,5553
Darke,Jim Jordan,R,State Senate,12,2498
Miami,Jim Jordan,R,State Senate,12,1714
Auglaize,Jim Jordan,R,State Senate,12,3314
Shelby,Jim Jordan,R,State Senate,12,5109
Mercer,Jim Jordan,R,State Senate,12,2692
Adams,Doug White,R,State Senate,14,3615
Brown,Doug White,R,State Senate,14,3835
Pike,Doug White,R,State Senate,14,1609
Highland,Doug White,R,State Senate,14,5211
Fayette,Doug White,R,State Senate,14,3788
Clinton,Doug White,R,State Senate,14,5343
Clermont,Doug White,R,State Senate,14,18581
Franklin,Priscilla Mead,R,State Senate,16,39382
Pickaway,Priscilla Mead,R,State Senate,16,733
Ashtabula,Robert Gardner,R,State Senate,18,8427
Lake,Robert Gardner,R,State Senate,18,19138
Athens,Jim Carnes,R,State Senate,20,1041
Belmont,Jim Carnes,R,State Senate,20,4375
Coshocton,Jim Carnes,R,State Senate,20,4397
Washington,Jim Carnes,R,State Senate,20,6998
Noble,Jim Carnes,R,State Senate,20,1735
Muskingum,Jim Carnes,R,State Senate,20,8425
Morgan,Jim Carnes,R,State Senate,20,2999
Monroe,Jim Carnes,R,State Senate,20,956
Holmes,Jim Carnes,R,State Senate,20,2318
Cuyahoga,Don Sopka,R,State Senate,22,6735
Medina,Don Sopka,R,State Senate,22,6526
Wayne,Don Sopka,R,State Senate,22,1735
Cuyahoga,Ron Amstutz,R,State Senate,22,4259
Wayne,Ron Amstutz,R,State Senate,22,13032
Medina,Ron Amstutz,R,State Senate,22,9308
Cuyahoga,Bob Spada,R,State Senate,24,26696
Crawford,Larry Mumper,R,State Senate,26,4883
Wyandot,Larry Mumper,R,State Senate,26,2983
Union,Larry Mumper,R,State Senate,26,5201
Seneca,Larry Mumper,R,State Senate,26,6783
Sandusky,Larry Mumper,R,State Senate,26,5869
Logan,Larry Mumper,R,State Senate,26,6352
Marion,Larry Mumper,R,State Senate,26,7238
Portage,Judy Jones,R,State Senate,28,10021
Summit,Judy Jones,R,State Senate,28,8160
Columbiana,Robert Whitney,R,State Senate,30,9311
Guernsey,Robert Whitney,R,State Senate,30,2829
Harrison,Robert Whitney,R,State Senate,30,1241
Jefferson,Robert Whitney,R,State Senate,30,4110
Tuscarawas,Robert Whitney,R,State Senate,30,5462
Geauga,Randy Law,R,State Senate,32,8753
Trumbull,Randy Law,R,State Senate,32,10985
