county,candidate,party,office,district,votes
Erie,Eric Klinger,D,State Senate,2,3956
Lucas,Eric Klinger,D,State Senate,2,5317
Wood,Eric Klinger,D,State Senate,2,5965
Ottawa,Eric Klinger,D,State Senate,2,2326
Butler,Arnold Engel,D,State Senate,4,9785
Preble,Arnold Engel,D,State Senate,4,1738
Montgomery,Karl Keith,D,State Senate,6,16986
Hamilton,Charlie Combs,D,State Senate,8,8584
Clark,Roger Tackett,D,State Senate,10,10743
Madison,Roger Tackett,D,State Senate,10,1371
Greene,Roger Tackett,D,State Senate,10,6817
Allen,Jason Saltis,D,State Senate,12,4581
Darke,Jason Saltis,D,State Senate,12,2720
Champaign,Jason Saltis,D,State Senate,12,1405
Auglaize,Jason Saltis,D,State Senate,12,1129
Shelby,Jason Saltis,D,State Senate,12,3969
Miami,Jason Saltis,D,State Senate,12,847
Mercer,Jason Saltis,D,State Senate,12,2517
Adams,Kenneth Snider,D,State Senate,14,1427
Clermont,Kenneth Snider,D,State Senate,14,4209
Clinton,Kenneth Snider,D,State Senate,14,1113
Pike,Kenneth Snider,D,State Senate,14,1955
Fayette,Kenneth Snider,D,State Senate,14,816
Highland,Kenneth Snider,D,State Senate,14,1451
Brown,Kenneth Snider,D,State Senate,14,3037
Franklin,Jada Brady,D,State Senate,16,14542
Pickaway,Jada Brady,D,State Senate,16,357
Ashtabula,Donna Mcnamee,D,State Senate,18,7370
Lake,Donna Mcnamee,D,State Senate,18,11021
Athens,Jason Piatt,D,State Senate,20,1331
Coshocton,Jason Piatt,D,State Senate,20,1430
Holmes,Jason Piatt,D,State Senate,20,857
Belmont,Jason Piatt,D,State Senate,20,10301
Monroe,Jason Piatt,D,State Senate,20,2615
Muskingum,Jason Piatt,D,State Senate,20,3366
Washington,Jason Piatt,D,State Senate,20,3210
Noble,Jason Piatt,D,State Senate,20,1253
Morgan,Jason Piatt,D,State Senate,20,696
Cuyahoga,Elizabeth Kelley,D,State Senate,22,7438
Medina,Elizabeth Kelley,D,State Senate,22,7667
Wayne,Elizabeth Kelley,D,State Senate,22,4727
Cuyahoga,Ann Donegan,D,State Senate,24,8494
Cuyahoga,Ed Boyle,D,State Senate,24,13194
Cuyahoga,Pat Leneghan,D,State Senate,24,7331
Cuyahoga,Terry Durica,D,State Senate,24,3111
Crawford,Mary Fleure,D,State Senate,26,2818
Marion,Mary Fleure,D,State Senate,26,4193
Logan,Mary Fleure,D,State Senate,26,1661
Seneca,Mary Fleure,D,State Senate,26,3441
Union,Mary Fleure,D,State Senate,26,1004
Wyandot,Mary Fleure,D,State Senate,26,1054
Sandusky,Mary Fleure,D,State Senate,26,3268
Portage,Leigh Herington,D,State Senate,28,11652
Summit,Leigh Herington,D,State Senate,28,14168
Columbiana,Greg Didonato,D,State Senate,30,10326
Jefferson,Greg Didonato,D,State Senate,30,11402
Tuscarawas,Greg Didonato,D,State Senate,30,12202
Harrison,Greg Didonato,D,State Senate,30,3117
Guernsey,Greg Didonato,D,State Senate,30,2775
Geauga,Darlene St. George,D,State Senate,32,1423
Trumbull,Darlene St. George,D,State Senate,32,13338
Geauga,"George Freeman, Jr.",D,State Senate,32,503
Trumbull,"George Freeman, Jr.",D,State Senate,32,2684
Geauga,Leif Damstoft,D,State Senate,32,123
Trumbull,Leif Damstoft,D,State Senate,32,581
Geauga,Marc Dann,D,State Senate,32,1582
Trumbull,Marc Dann,D,State Senate,32,11534
Geauga,Timothy Ryan,D,State Senate,32,1236
Trumbull,Timothy Ryan,D,State Senate,32,16982
