county,candidate,party,office,district,votes
Medina,Donald Bower,L,State House,81,13
Franklin,Roy Wagner,L,State House,24,51
Butler,Patrick White,L,State House,,24
Preble,,L,State House,,12
Erie,Gerard Seman,L,State House,63,4
Preble,,L,State House,,11
Lucas,"William Stephenson, Jr.",L,State House,52,15
Montgomery,Bryan Carey,L,State House,41,16
Pickaway,,L,State House,,0
Vinton,,L,State House,,0
Ross,,L,State House,,3
Hamilton,Dave Ekstrum,L,State House,30,27
Perry,,L,State House,,1
Hamilton,Manny Tepper,L,State House,32,28
Hamilton,Autumn Mueller,L,State House,31,30
Ashtabula,Frank Keller,L,State House,5,8
Lake,Sarah Tetzloff,L,State House,69,19
Summit,Chet Sutherland,L,State House,44,9
Pickaway,"Bruce Wilson, B.",L,State House,91,3
Hamilton,Patrick Quealy,L,State House,33,19
Hamilton,E. Naberhaus,L,State House,37,31
Cuyahoga,Ted Lesniak,L,State House,18,13
Miami,Bob Debrosse,L,State House,43,22
Ashland,Benjamin Wills,L,State House,93,8
Paulding,,L,State House,,4
Montgomery,,L,State House,,3
Geauga,Frank Evan,L,State House,68,32
Cuyahoga,John Hartman,L,State House,17,18
Knox,,L,State House,,9
Lorain,,L,State House,,9
Hamilton,Gary Sweeney,L,State House,34,32
Putnam,,L,State House,,0
Hocking,,L,State House,,1
Montgomery,Glen Schoonover,L,State House,42,5
Hamilton,Everett Dejager,L,State House,36,32
Cuyahoga,Richard Pierce Iii,L,State House,14,7
Summit,Bob Hart,L,State House,46,15
Franklin,James Moyer,L,State House,21,22
Huron,,L,State House,,0
Stark,Ronald Brown,L,State House,56,19
Licking,Daniel Baker,L,State House,77,1
Lake,Alan Majni,L,State House,70,25
Mahoning,"John Fockler, Jr.",L,State House,64,6
Huron,,L,State House,,1
Trumbull,,L,State House,,4
Butler,Howard Matre,L,State House,60,6
Wood,Milton Mann,L,State House,4,28
Franklin,Charles Hazlett,L,State House,29,22
Van Wert,,L,State House,,3
Licking,,L,State House,,2
Athens,Scott Nazzarine,L,State House,78,10
Montgomery,Frank Fenton,L,State House,40,3
Henry,Gregory Harpel,L,State House,83,5
