county,candidate,party,office,district,votes
Lorain,,,State House,,1
Summit,Charles Hunter,,State House,45,3
Cuyahoga,Paul Simmons,,State House,11,2
Franklin,Norma Koutz Wallace,,State House,28,13
Greene,Christina Turner,,State House,76,15
Montgomery,Charles Turner,,State House,41,6
Hamilton,Jim Donaldson,,State House,37,6
Richland,,,State House,,0
Cuyahoga,Thomas Murach,,State House,17,2
Montgomery,Synthia Jackson,,State House,38,4
Preble,,,State House,,16
Hamilton,Mary Schuster,,State House,31,11
Hamilton,Sharon Rozier,,State House,35,6
Butler,R. Bach,,State House,60,13
Huron,,,State House,,1
Delaware,Carol Cottrell,,State House,80,9
Erie,John Fitch,,State House,63,3
Cuyahoga,Guy Black,,State House,10,2
Morrow,,,State House,,1
