county,candidate,party,office,district ,votes
Clark ,Linda Mazurek,N,State Senate,10,2
Greene ,Linda Mazurek,N,State Senate,10,20
Madison ,Linda Mazurek,N,State Senate,10,0
Allen ,Debra Mitchell,N,State Senate,12,3
Mercer ,Debra Mitchell,N,State Senate,12,2
Shelby ,Debra Mitchell,N,State Senate,12,0
Auglaize ,Debra Mitchell,N,State Senate,12,1
Miami ,Debra Mitchell,N,State Senate,12,0
Champaign ,Debra Mitchell,N,State Senate,12,1
Darke ,Debra Mitchell,N,State Senate,12,4
Cuyahoga ,Richard Leirner,N,State Senate,24,11
